"source","target","weight"
"CHEWBACCA","R2-D2",16
"C-3PO","R2-D2",41
"BERU","R2-D2",1
"LUKE","R2-D2",29
"OWEN","R2-D2",1
"OBI-WAN","R2-D2",4
"LEIA","R2-D2",22
"BIGGS","R2-D2",1
"HAN","R2-D2",19
"CHEWBACCA","OBI-WAN",4
"C-3PO","CHEWBACCA",38
"CHEWBACCA","LUKE",29
"CHEWBACCA","HAN",58
"CHEWBACCA","LEIA",41
"CAMIE","LUKE",2
"BIGGS","CAMIE",2
"BIGGS","LUKE",4
"DARTH VADER","LEIA",2
"BERU","LUKE",3
"BERU","OWEN",3
"BERU","C-3PO",2
"LUKE","OWEN",3
"C-3PO","LUKE",29
"C-3PO","OWEN",2
"C-3PO","LEIA",44
"LEIA","LUKE",26
"BERU","LEIA",1
"LUKE","OBI-WAN",22
"C-3PO","OBI-WAN",6
"LEIA","OBI-WAN",1
"MOTTI","TARKIN",2
"DARTH VADER","MOTTI",1
"DARTH VADER","TARKIN",7
"HAN","OBI-WAN",10
"HAN","LUKE",43
"GREEDO","HAN",1
"HAN","JABBA",1
"C-3PO","HAN",51
"LEIA","MOTTI",1
"LEIA","TARKIN",1
"HAN","LEIA",64
"DARTH VADER","OBI-WAN",1
"DODONNA","GOLD LEADER",1
"DODONNA","WEDGE",1
"DODONNA","LUKE",1
"GOLD LEADER","WEDGE",1
"GOLD LEADER","LUKE",1
"LUKE","WEDGE",4
"BIGGS","LEIA",1
"LEIA","RED LEADER",1
"LUKE","RED LEADER",3
"BIGGS","RED LEADER",3
"BIGGS","C-3PO",1
"C-3PO","RED LEADER",1
"RED LEADER","WEDGE",3
"GOLD LEADER","RED LEADER",1
"BIGGS","WEDGE",2
"RED LEADER","RED TEN",1
"BIGGS","GOLD LEADER",1
"LUKE","RED TEN",1
"LANDO","R2-D2",3
"CHEWBACCA","RIEEKAN",1
"CHEWBACCA","LANDO",15
"CHEWBACCA","DARTH VADER",1
"BOBA FETT","CHEWBACCA",1
"HAN","RIEEKAN",3
"LEIA","RIEEKAN",4
"C-3PO","DERLIN",1
"HAN","ZEV",1
"C-3PO","RIEEKAN",1
"OZZEL","PIETT",2
"DARTH VADER","PIETT",8
"DARTH VADER","OZZEL",2
"DERLIN","LEIA",1
"DACK","LUKE",3
"JANSON","WEDGE",2
"LUKE","ZEV",1
"DARTH VADER","NEEDA",1
"NEEDA","PIETT",1
"DARTH VADER","EMPEROR",6
"LUKE","YODA",6
"BOBA FETT","PIETT",1
"BOBA FETT","DARTH VADER",3
"HAN","LANDO",12
"LANDO","LEIA",12
"C-3PO","LANDO",8
"OBI-WAN","YODA",1
"DARTH VADER","LANDO",4
"DARTH VADER","HAN",2
"BOBA FETT","LANDO",2
"BOBA FETT","C-3PO",1
"C-3PO","DARTH VADER",1
"BOBA FETT","HAN",1
"BOBA FETT","LEIA",1
"DARTH VADER","LUKE",7
"LANDO","LUKE",6
"JABBA","R2-D2",2
"MON MOTHMA","R2-D2",1
"CHEWBACCA","MON MOTHMA",1
"DARTH VADER","JERJERROD",1
"BIB FORTUNA","C-3PO",2
"C-3PO","JABBA",3
"JABBA","LUKE",2
"BOUSHH","JABBA",1
"BOUSHH","C-3PO",2
"BOUSHH","HAN",1
"BOUSHH","LEIA",1
"BIB FORTUNA","LUKE",1
"BIB FORTUNA","JABBA",1
"HAN","MON MOTHMA",1
"ADMIRAL ACKBAR","HAN",1
"LANDO","MON MOTHMA",1
"ADMIRAL ACKBAR","LANDO",5
"ADMIRAL ACKBAR","MON MOTHMA",1
"C-3PO","MON MOTHMA",1
"LEIA","MON MOTHMA",1
"LUKE","MON MOTHMA",1
"ADMIRAL ACKBAR","C-3PO",1
"ADMIRAL ACKBAR","LEIA",1
"ADMIRAL ACKBAR","LUKE",1
"EMPEROR","LUKE",3
"LANDO","WEDGE",6
"ADMIRAL ACKBAR","WEDGE",1
"ANAKIN","DARTH VADER",1
"ANAKIN","LUKE",1
